RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM
PM23,,G07 - N54,HHOLL G07 - HHOLL N54,,,145,18,-4.2,46,70,0.15,0.17,20,-6,12,8,22,0.5,0.03,7,-0.02,0.01,99,45
PM24,,G10 - N54,HHOLL G10 - HHOLL N54,,,142,18,-4.6,45,72,0.16,0.17,28,-5,11,9,20,0.51,0.03,10,0,0.01,90,52
PM25,,G11 - N54,HHOLL G11 - HHOLL N54,,,149,19,-5.1,48,78,0.19,0.43,26,-3,12,9,21,0.56,0.02,10,0.02,0.01,94,54
PM26,,G22 - N54,HHOLL G22 - HHOLL N54,,,152,17,-4,54,84,0.19,0.39,30,-3,12,8,22,0.52,0.02,14,0.08,0.01,101,51
PM27,,G25 - N54,HHOLL G25 - HHOLL N54,,,151,18,-4.4,55,83,0.18,0.33,29,-4,12,9,22,0.5,0.02,12,0.06,0.01,105,46
PM28,,G29 - N54,HHOLL G29 - HHOLL N54,,,138,18,-4.4,56,87,0.19,0.42,28,-3,12,9,19,0.52,0.02,14,0.05,0,86,51
PM29,,G34 - N54,HHOLL G34 - HHOLL N54,,,149,18,-4.4,50,75,0.16,0.23,26,-6,12,9,22,0.49,0.02,9,0.01,0.01,105,44
PM30,,G35 - N54,HHOLL G35 - HHOLL N54,,,147,17,-3.9,54,81,0.16,0.43,31,-3,12,8,23,0.47,0.02,10,-0.02,0,110,38
PM31,,G60 - N54,HHOLL G60 - HHOLL N54,,,163,21,-5.8,49,79,0.19,0.41,26,-3,13,11,22,0.56,0.02,11,0.03,0.01,108,55
PM32,,G65 - N54,HHOLL G65 - HHOLL N54,,,153,15,-3.4,53,81,0.18,0.25,31,-4,12,8,22,0.51,0.02,12,0.04,0.01,103,50
PM33,,G09 - N54,HHOLL G09 - HHOLL N54,,,153,16,-3.6,55,90,0.21,0.5,26,-2,13,8,21,0.56,0.02,15,0.07,0.01,95,58
PM34,,H37 - N54,HHOLL H37 - HHOLL N54,,,146,17,-4,54,87,0.21,0.5,22,-3,12,8,21,0.47,0,15,0.08,0,97,50
PM35,,H11 - N54,HHOLL H11 - HHOLL N54,,,146,21,-5.5,42,64,0.14,0.13,25,-6,12,10,22,0.5,0.03,5,-0.04,0.01,102,44
PM36,,H86 - N54,HHOLL H86 - HHOLL N54,,,146,16,-3.2,54,82,0.17,0.33,26,-5,12,8,22,0.5,0.02,10,0.03,0.01,102,43
PM37,,H50 - N54,HHOLL H50 - HHOLL N54,,,145,15,-3.4,56,87,0.19,0.41,33,-4,12,7,20,0.52,0.02,16,0.09,0.01,92,53
PM38,,H62 - N54,HHOLL H62 - HHOLL N54,,,150,14,-2.9,57,91,0.21,0.54,26,-1,12,8,21,0.56,0.02,14,0.07,0.01,94,56
PM39,,H26 - N54,HHOLL H26 - HHOLL N54,,,150,19,-4.4,52,79,0.17,0.38,29,-3,12,9,23,0.5,0.02,10,0.04,0.01,106,43
PM40,,H15 - N54,HHOLL H15 - HHOLL N54,,,130,17,-3.9,56,86,0.19,0.39,26,-4,12,8,19,0.51,0.02,12,0.01,0,82,48
PM41,,H61 - N54,HHOLL H61 - HHOLL N54,,,147,21,-5.5,48,73,0.16,0.24,28,-4,12,10,22,0.5,0.02,9,0.01,0.01,102,45
PM42,,H44 - N54,HHOLL H44 - HHOLL N54,,,147,19,-4.6,48,74,0.16,0.25,26,-4,12,9,22,0.5,0.03,8,0,0.01,103,45
PM43,,H59 - N54,HHOLL H59 - HHOLL N54,,,142,14,-3,57,89,0.2,0.38,25,-3,12,8,21,0.51,0.02,13,0.04,0,92,50
PM44,,H31 - N54,HHOLL H31 - HHOLL N54,,,142,17,-4,51,78,0.17,0.26,24,-5,12,8,21,0.51,0.03,8,0.02,0.01,97,45
PM45,,H70 - N54,HHOLL H70 - HHOLL N54,,,148,18,-4.2,52,79,0.17,0.29,30,-3,11,9,22,0.49,0.02,12,0.02,0.01,102,46
