RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,cow,bull,higher_count,lower_count,Weight,combined_count,PROS_pct,CED_pct,Milk_pct,WW_pct,YW_pct,ADG_pct,HPG_pct,CEM_pct,Marb_pct,STAY_pct,CW_pct,REA_pct,HB_pct,GM_pct,BW_pct,DMI_pct,ME_pct,YG_pct,FAT_pct,pair_score
PM804,HHOLL M13 - LSF CJR PRESIDENT 4454M,160,13,-3.7,56,86,0.19,0.33,27,-2,11,6,21,0.81,-0.05,12,0.22,0.0,90,71,M13,4454M,5,5,703.0,10,1.6191609249734473,-0.8303963034469181,-0.39063183127331474,-1.0519134271215385,-1.0542619448934845,-1.0082020643545468,-1.0264198942443152,-1.7595238287689148,2.219041764645978,1.3703839914048956,-0.9476255043792209,-0.17052120262803144,1.060162153318965,0.6553229142013038,0.566478348139595,0.4834807588653849,-0.0,0.8280504779394074,-0.0,10.992875790801016
PM737,HHOLL L64 - FEDDES DEFENDER Y17-8269,118,19,-5.2,50,78,0.18,0.63,22,-2,12,9,17,0.64,-0.06,4,0.16,0.0,68,50,L64,8269,4,4,1280.0,8,-0.08095804624867238,1.6607926068938361,-1.3672114094566015,-1.4231769896350226,-1.3450928262434114,-1.1202245159494966,-0.5132099471221576,0.0,0.8218673202392508,0.0,-1.3935669182047368,-0.5115636078840943,-0.1060162153318965,-0.7208552056214341,1.780360522724441,-0.9669615177307699,-0.0,0.9660588909293083,-0.0,6.3099715044681375
PM296,HHOLL H59 - FEDDES DEFENDER Y17-8269,112,14,-2.8,59,88,0.18,0.49,24,-3,11,7,18,0.47,-0.03,4,0.0,-0.0,79,33,H59,8269,2,3,1350.0,5,-0.3238321849946895,-0.41519815172345903,-0.976579578183287,-0.8662816458647963,-0.9815542245560028,-1.1202245159494966,-1.0264198942443152,-1.1730158858459432,-0.5753071241674762,0.3425959978512239,-1.3935669182047368,-1.421010021900262,0.47707296899353413,-1.8349041597636504,-0.16185095661131293,-0.29008845531923094,0.32810577234290283,0.5520336519596049,0.0,-5.247506004763588
PM570,HHOLL K69 - VF SILVER BOW D172,127,14,-2.5,68,109,0.26,0.99,24,1,14,8,18,0.5,-0.01,16,0.16,0.0,79,48,K69,D172,4,2,1310.0,6,0.2833531618703533,-0.41519815172345903,-0.976579578183287,-0.30938630209457013,-0.21812316101244505,-0.2240449031898994,0.5132099471221576,-0.5865079429229716,-0.32874692809570066,0.3425959978512239,-0.7246547974664632,-0.5115636078840943,0.47707296899353413,-0.8519197884616949,-0.404627391528282,-2.7074922496461555,-0.9843173170287085,0.2760168259798024,-0.0,-1.3985570996597474
PM90,E29 - LSF CJR PRESIDENT 4454M,169,15,-3.5,55,80,0.16,0.27,31,-4,10,8,25,0.63,-0.01,9,0.05,-0.0,120,49,E29,4454M,6,5,1330.0,11,1.9834721330924734,0.0,0.39063183127331474,-1.1137906875404524,-1.2723851059059297,-1.3442694191393956,-1.5396298413664726,-0.5865079429229716,0.7396805882153257,2.7407679828097913,-1.1148535345637895,-1.1368080175202095,2.650405383297412,-0.7863874970415645,0.404627391528282,0.7735692141846158,0.6562115446858057,0.2760168259798024,0.0,13.913838745789228
PM233,HHOLL H37 - FEDDES DEFENDER Y17-8269,116,16,-3.8,56,87,0.19,0.61,21,-3,12,8,19,0.42,-0.04,6,0.05,-0.0,83,33,H37,8269,3,4,,7,-0.16191609249734476,0.41519815172345903,-1.562527325093259,-1.0519134271215385,-1.0179080847247437,-1.0082020643545468,-0.5132099471221576,-0.5865079429229716,-0.9862407842871016,0.6851919957024478,-1.2820815647483579,-1.1368080175202095,0.6891053996573272,-1.8349041597636504,0.6474038264452511,-0.8702653659576929,0.32810577234290283,0.690042064949506,0.0,-0.2111281955769444
PM58,D29 - FEDDES DEFENDER Y17-8269,110,16,-3.7,51,75,0.15,0.35,24,-5,12,8,19,0.45,-0.02,0,-0.03,0.0,82,28,D29,8269,3,5,1340.0,8,-0.40479023124336183,0.41519815172345903,-0.976579578183287,-1.3612997292161084,-1.4541544067496337,-1.4562918707343453,-0.5132099471221576,-0.5865079429229716,-0.739680588215326,0.6851919957024478,-1.6165376251174948,-1.5915312245282935,0.6360972919913789,-2.1625656168643026,0.566478348139595,0.386784607092308,0.9843173170287085,0.4140252389697036,-0.0,0.9440698715257838
PM202,HHOLL G34 - LSF CJR PRESIDENT 4454M,164,18,-5.3,52,77,0.15,0.21,27,-5,11,9,24,0.66,-0.01,7,0.05,0.01,114,50,G34,4454M,6,4,1235.0,10,1.7810770174707924,1.245594455170377,-0.39063183127331474,-1.2994224687971945,-1.381446686412152,-1.4562918707343453,-1.0264198942443152,0.0,0.986240784287101,2.398171984958567,-1.2263388880201684,-1.1368080175202095,2.3323567373017227,-0.7208552056214341,1.8612860010300971,1.0636576695038469,0.9843173170287085,0.2760168259798024,-0.8661360002223819,15.698998348867956
PM207,HHOLL G35 - LSF SRR CHARTER 1181J,146,14,-2.3,65,102,0.23,0.68,29,2,11,7,21,0.47,0.05,28,-0.02,-0.01,92,55,G35,1181J,4,1,1200.0,5,1.052454601232741,-0.41519815172345903,0.0,-0.49501808335131214,-0.472600182193631,-0.5601122579747483,-1.0264198942443152,-1.1730158858459432,-0.5753071241674762,1.3703839914048956,-0.05574267672818947,-1.534690823652283,1.1661783686508613,-0.39319374852078226,-0.566478348139595,-1.2087018971634624,-1.3124230893716113,-0.5520336519596049,0.8661360002223819,-0.7133723345456566
PM384,HHOLL J27 - LSF CJR PRESIDENT 4454M,165,15,-4.2,54,83,0.18,0.39,31,1,11,8,22,0.81,-0.05,10,0.2,0.0,97,68,J27,4454M,7,4,1035.0,11,1.8215560405951285,0.0,0.39063183127331474,-1.1756679479593664,-1.163323525399707,-1.1202245159494966,-1.0264198942443152,-0.5865079429229716,2.219041764645978,1.71297998925612,-1.0591108578356,-0.28420200438005233,1.4312189069806025,0.4587260399409126,0.9711057396678768,0.19339230354615386,-0.9843173170287085,0.8280504779394074,-0.0,14.796424824804813
PM199,HHOLL G34 - VF SILVER BOW D172,148,16,-3.0,54,88,0.21,0.55,19,-3,14,8,22,0.41,-0.01,9,0.08,0.0,106,42,G34,D172,5,4,1235.0,9,1.1334126474814132,0.41519815172345903,-1.953159156366574,-1.1756679479593664,-0.9815542245560028,-0.7841571611646476,0.5132099471221576,-0.5865079429229716,-1.0684275163110266,1.71297998925612,-1.1148535345637895,-0.9662868148921782,1.9082918759741365,-1.245113536982477,-0.0,-0.5801769106384621,0.32810577234290283,0.2760168259798024,-0.0,6.221320163572775
PM73,HHOLL K82 - HHOLL N54,142,18,-4.4,56,86,0.19,0.44,28,-4,12,8,20,0.51,0.02,14,0.07,0.01,92,49,K82,N54,4,2,1070.0,6,0.8905385087353962,1.245594455170377,-0.19531591563665737,-1.0519134271215385,-1.0542619448934845,-1.0082020643545468,-0.5132099471221576,-0.5865079429229716,-0.2465601960717755,1.0277879935536718,-0.8361401509228421,-1.0231272157681885,1.1661783686508613,-0.7863874970415645,1.13295669627919,-0.04834807588653853,0.6562115446858057,-0.1380084129899012,-0.8661360002223819,5.752432303506048
PM219,HHOLL G65 - FEDDES DEFENDER Y17-8269,123,15,-3.2,54,81,0.16,0.37,29,-5,11,8,20,0.46,-0.03,3,0.02,0.0,90,33,G65,8269,5,5,1230.0,10,0.12143706937300858,0.0,0.0,-1.1756679479593664,-1.2360312457371887,-1.3442694191393956,-1.0264198942443152,-0.5865079429229716,-0.6574938561914009,1.0277879935536718,-1.4493095949329264,-1.307329220148241,1.060162153318965,-1.8349041597636504,0.16185095661131293,0.29008845531923094,0.9843173170287085,0.5520336519596049,-0.0,4.785593912973323
PM263,HHOLL H62 - LSF SRR CHARTER 1181J,149,10,-1.3,68,112,0.28,0.79,24,3,12,6,19,0.57,0.05,31,0.06,-0.01,77,72,H62,1181J,7,1,1300.0,8,1.1738916706057496,-2.0759907586172948,-0.976579578183287,-0.30938630209457013,-0.10906158050622253,0.0,-0.5132099471221576,-1.7595238287689148,0.2465601960717746,0.6851919957024478,0.11148535345637894,-1.0799676166441992,0.3710567536616377,0.7208552056214341,-1.3757331311961587,-1.740530731915386,-1.6405288617145142,-0.5520336519596049,0.8661360002223819,-1.3051379410430801
PM410,HHOLL J04 - LSF SRR CHARTER 1181J,134,15,-3.6,56,91,0.22,0.46,19,-1,11,8,17,0.64,0.03,22,-0.02,-0.01,65,70,J04,1181J,5,2,,7,0.5667063237407066,0.0,-1.953159156366574,-1.0519134271215385,-0.8724926440497802,-0.6721347095696979,-1.0264198942443152,-0.5865079429229716,0.8218673202392508,0.0,-0.39019873709732633,-1.534690823652283,-0.2650405383297412,0.5897906227811733,0.4855528698339384,-0.1450442276596156,-0.32810577234290283,-0.27601682597980237,0.8661360002223819,2.190531473066561
PM897,HHOLL M78 - LASO SPLASH Z124G,144,16,-4.1,60,97,0.23,0.75,25,1,12,8,16,0.87,-0.08,19,0.41,0.0,62,82,M78,Z124G,5,3,848.0,8,0.9714965549840686,0.41519815172345903,-0.7812636625466295,-0.8044043854458822,-0.6543694830373352,-0.5601122579747483,-0.5132099471221576,-0.5865079429229716,2.7121621567895278,-0.3425959978512239,-0.5574267672818948,0.9094464140161675,-0.424064861327586,1.3761781198227379,0.8901802613622201,-1.5471384283692318,-0.9843173170287085,1.2420757169091108,-0.0,9.802111872733125
PM115,HHOLL M13 - HHOLL N54,145,13,-2.9,54,85,0.19,0.35,26,-2,12,7,19,0.63,-0.02,14,0.17,0.0,81,65,M13,N54,5,4,703.0,9,1.011975578108405,-0.8303963034469181,-0.5859477469099721,-1.1756679479593664,-1.0906158050622252,-1.0082020643545468,-0.5132099471221576,-1.1730158858459432,0.7396805882153257,0.6851919957024478,-0.8361401509228421,-0.4547232070080838,0.5830891843254307,0.2621291656805215,-0.08092547830565647,0.386784607092308,-0.0,0.4140252389697036,-0.0,5.844376470082036
PM28,HHOLL G29 - HHOLL K20B,104,18,-4.2,57,84,0.17,0.44,23,-5,10,8,17,0.47,-0.05,6,0.04,-0.01,67,37,G29,K20B,2,4,1150.0,6,-0.647664369989379,1.245594455170377,-1.1718954938199442,-0.9900361667026243,-1.1269696652309662,-1.232246967544446,-1.5396298413664726,-0.5865079429229716,-0.5753071241674762,0.0,-1.2820815647483579,-1.1936484183962202,-0.15902432299784472,-1.572774994083129,0.9711057396678768,-0.04834807588653853,0.9843173170287085,0.8280504779394074,0.8661360002223819,0.7617677995169583
PM93,HHOLL L22 - HHOLL N54,126,16,-3.7,59,90,0.2,0.47,29,-4,12,8,17,0.63,0.0,11,0.05,0.0,71,55,L22,N54,6,4,938.0,10,0.24287413874601715,0.41519815172345903,0.0,-0.8662816458647963,-0.9088465042185211,-0.8961796127595971,-0.5132099471221576,-0.5865079429229716,0.7396805882153257,0.0,-1.0033681811074107,-1.1368080175202095,0.05300810766594825,-0.39319374852078226,0.566478348139595,-0.19339230354615386,0.6562115446858057,0.1380084129899012,-0.0,7.5126340774177045
PM125,HHOLL M50 - HHOLL N54,161,20,-5.5,55,88,0.21,0.58,27,-1,13,10,20,0.69,-0.02,17,0.24,0.01,91,70,M50,N54,8,2,1095.0,10,1.6596399480977837,2.0759907586172948,-0.39063183127331474,-1.1137906875404524,-0.9815542245560028,-0.7841571611646476,0.0,0.5865079429229716,1.2328009803588758,1.0277879935536718,-0.6689121207382737,-0.05684040087601053,1.113170260984913,0.5897906227811733,2.0231369576414098,-0.7252211382980773,-0.32810577234290283,0.4140252389697036,-0.8661360002223819,17.412166891926933
PM387,HHOLL J11 - FEDDES DEFENDER Y17-8269,122,15,-3.5,56,85,0.18,0.6,28,-3,12,8,17,0.61,-0.06,7,0.2,0.0,74,48,J11,8269,5,4,1260.0,9,0.08095804624867238,0.0,-0.19531591563665737,-1.0519134271215385,-1.0906158050622252,-1.1202245159494966,-0.5132099471221576,-0.5865079429229716,0.5753071241674752,0.0,-1.2263388880201684,-0.28420200438005233,0.212032430663793,-0.8519197884616949,0.404627391528282,-0.8219172900711543,0.32810577234290283,0.9660588909293083,-0.0,4.8961887472241985
PM878,HHOLL M35 - VF SILVER BOW D172,167,18,-4.8,55,93,0.24,0.64,21,-2,15,10,21,0.64,0.04,14,0.07,0.01,103,65,M35,D172,8,2,942.0,10,1.9025140868438009,1.245594455170377,-1.562527325093259,-1.1137906875404524,-0.7997849237122986,-0.4480898063797988,1.0264198942443152,0.5865079429229716,0.8218673202392508,1.3703839914048956,-0.8361401509228421,-1.0231272157681885,1.749267552976292,0.2621291656805215,1.4566586095018148,-1.0153095936173084,-0.0,-0.4140252389697036,-0.8661360002223819,14.233395723762165
PM417,HHOLL J80 - LSF SRR CHARTER 1181J,139,14,-2.8,65,103,0.24,0.63,25,-1,11,7,17,0.63,0.02,26,0.04,-0.01,70,69,J80,1181J,5,1,1080.0,6,0.7691014393623876,-0.41519815172345903,-0.7812636625466295,-0.49501808335131214,-0.4362463220248901,-0.4480898063797988,-1.0264198942443152,-1.1730158858459432,0.7396805882153257,0.0,-0.16722803018456842,-1.1936484183962202,0.0,0.524258331361043,-0.16185095661131293,-0.9669615177307699,-0.32810577234290283,-0.1380084129899012,0.8661360002223819,1.3223550336846221
PM16,F06 - HHOLL K20B,116,15,-2.8,56,81,0.15,0.38,26,-5,9,7,20,0.41,-0.06,5,0.01,-0.01,86,29,F06,K20B,3,4,1310.0,7,-0.16191609249734476,0.0,-0.5859477469099721,-1.0519134271215385,-1.2360312457371887,-1.4562918707343453,-2.0528397884886305,-1.1730158858459432,-1.0684275163110266,1.0277879935536718,-1.3378242414765473,-1.3641696210242515,0.848129722655172,-2.097033325444172,-0.16185095661131293,0.24174037943269244,0.9843173170287085,0.9660588909293083,0.8661360002223819,-0.6691190779509784
PM891,HHOLL M45 - FEDDES DEFENDER Y17-8269,113,16,-3.6,57,89,0.2,0.6,27,-3,12,7,16,0.6,-0.02,6,0.07,0.01,65,49,M45,8269,2,3,972.0,5,-0.2833531618703533,0.41519815172345903,-0.39063183127331474,-0.9900361667026243,-0.945200364387262,-0.8961796127595971,-0.5132099471221576,-1.1730158858459432,0.49312039214355013,-0.3425959978512239,-1.2820815647483579,-1.0231272157681885,-0.2650405383297412,-0.7863874970415645,0.4855528698339384,-0.8219172900711543,0.32810577234290283,0.4140252389697036,-0.8661360002223819,-2.163893769642775
PM680,HHOLL L33 - LASO SPLASH Z124G,139,12,-1.8,58,95,0.23,0.73,24,1,11,6,18,0.62,-0.1,18,0.42,-0.0,72,68,L33,Z124G,6,2,998.0,8,0.7691014393623876,-1.245594455170377,-0.976579578183287,-0.9281589062837103,-0.7270772033748168,-0.5601122579747483,-1.0264198942443152,-1.7595238287689148,0.6574938561914004,0.3425959978512239,-0.6131694440100842,0.9662868148921782,0.1060162153318965,0.4587260399409126,-0.9711057396678768,-1.4504422765961547,-0.9843173170287085,1.5180925428889134,0.0,1.469234218607399
PM898,HHOLL M78 - FEDDES DEFENDER Y17-8269,133,18,-5.3,61,93,0.2,0.69,27,-3,13,9,17,0.75,0.0,8,0.04,0.01,78,55,M78,8269,7,3,848.0,10,0.5262273006163705,1.245594455170377,-0.39063183127331474,-0.7425271250269682,-0.7997849237122986,-0.8961796127595971,0.0,0.0,1.7259213725024267,0.0,-1.1705962112919788,-1.1936484183962202,0.424064861327586,-0.39319374852078226,1.8612860010300971,-1.2570499730500007,0.32810577234290283,0.1380084129899012,-0.8661360002223819,10.244812197473536
