cow,bull,pair_score,score,RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,higher_count,lower_count,Weight,combined_count
M83,N54,7.6664,58.774,PM130,HHOLL M83 - HHOLL N54,144,16,-3.8,55,90,0.22,0.5,29,-1,13,8,18,0.65,0.02,15,0.1,0.01,78,66,8,1,1100.0,9
L73,N54,7.4898,56.0966,PM109,HHOLL L73 - HHOLL N54,136,16,-3.9,53,82,0.18,0.47,27,-3,12,8,18,0.69,-0.03,9,0.09,0.0,75,60,5,4,980.0,9
G34,Z124G,7.3633,54.2175,PM197,HHOLL G34 - LASO SPLASH Z124G,130,15,-3.1,50,78,0.17,0.41,23,-3,11,7,19,0.56,-0.1,11,0.35,0.0,76,54,6,5,1235.0,11
J03,8269,6.1148,37.3907,PM338,HHOLL J03 - FEDDES DEFENDER Y17-8269,111,18,-4.8,53,76,0.15,0.43,25,-6,12,9,18,0.54,-0.03,-1,-0.03,0.0,78,32,5,5,,10
K05,1181J,5.5853,31.1953,PM515,HHOLL K05 - LSF SRR CHARTER 1181J,160,12,-1.8,73,119,0.29,0.88,25,2,12,7,20,0.57,0.05,35,0.1,-0.01,88,73,9,1,,10
H44,Z124G,5.4148,29.32,PM288,HHOLL H44 - LASO SPLASH Z124G,128,15,-3.2,49,77,0.18,0.43,22,0,11,8,19,0.56,-0.1,10,0.33,0.0,73,55,6,4,1050.0,10
M56,K20B,5.1545,26.5689,PM116,HHOLL M56 - HHOLL K20B,129,16,-3.3,62,94,0.2,0.51,22,-4,11,8,18,0.56,-0.02,15,0.05,-0.01,76,53,5,4,,9
G65,8269,4.7856,22.9019,PM219,HHOLL G65 - FEDDES DEFENDER Y17-8269,123,15,-3.2,54,81,0.16,0.37,29,-5,11,8,20,0.46,-0.03,3,0.02,0.0,90,33,5,5,1230.0,10
D19,K20B,4.4754,20.0296,PM10,D19 - HHOLL K20B,108,18,-4.1,50,72,0.14,0.28,24,-7,10,9,18,0.44,-0.05,1,0.01,-0.01,76,32,4,5,1550.0,9
J46,D172,4.2446,18.0167,PM423,HHOLL J46 - VF SILVER BOW D172,142,15,-3.1,60,100,0.25,0.83,18,-1,14,8,19,0.58,-0.03,12,0.12,-0.0,85,57,6,3,1165.0,9
M17,8269,4.0362,16.2912,PM856,HHOLL M17 - FEDDES DEFENDER Y17-8269,122,15,-3.3,64,97,0.2,0.7,29,-3,12,7,18,0.61,0.01,10,0.03,0.0,76,45,6,4,1160.0,10
K52,8269,3.8252,14.6318,PM583,HHOLL K52 - FEDDES DEFENDER Y17-8269,120,15,-3.8,52,82,0.19,0.55,24,-3,13,7,17,0.64,-0.06,4,0.15,0.0,68,52,5,4,1105.0,9
J05,8269,3.488,12.166,PM401,HHOLL J05 - FEDDES DEFENDER Y17-8269,121,15,-3.3,64,95,0.2,0.75,28,-4,12,8,18,0.58,-0.03,5,0.06,0.0,83,38,5,4,,9
D23,Z124G,3.4422,11.8488,PM78,D23 - LASO SPLASH Z124G,129,13,-2.4,49,77,0.17,0.42,25,-2,11,7,18,0.57,-0.1,12,0.36,0.0,71,58,5,4,1165.0,9
K21,Z124G,3.2235,10.3911,PM470,HHOLL K21 - LASO SPLASH Z124G,122,13,-2.6,51,81,0.19,0.41,29,-1,10,6,17,0.58,-0.11,14,0.4,-0.0,59,63,6,3,1280.0,9
M57,1181J,3.22,10.3681,PM837,HHOLL M57 - LSF SRR CHARTER 1181J,160,10,-1.6,74,124,0.31,0.93,26,5,12,6,18,0.67,0.09,44,0.09,-0.01,70,91,9,1,1035.0,10
C16,K20B,3.1644,10.0132,PM2,C16 - HHOLL K20B,115,17,-3.3,53,75,0.13,0.23,22,-8,10,8,20,0.4,-0.05,1,-0.05,-0.02,90,25,3,5,1370.0,8
L10,Z124G,3.1338,9.8209,PM1,HHOLLL10 - LASO SPLASH Z124G,132,12,-1.8,47,72,0.16,0.25,22,-4,11,6,19,0.54,-0.11,10,0.31,-0.01,78,54,5,4,,9
L29,K20B,2.9635,8.7823,PM95,HHOLL L29 - HHOLL K20B,106,17,-4.0,53,78,0.16,0.41,22,-7,10,8,15,0.63,-0.1,1,0.08,-0.02,59,47,2,5,1170.0,7
K60,K20B,2.8631,8.1974,PM65,HHOLL K60 - HHOLL K20B,111,18,-4.0,51,77,0.16,0.36,25,-4,10,8,17,0.59,-0.02,5,-0.05,-0.01,64,47,3,5,1340.0,8
L28,D172,2.8613,8.1868,PM654,HHOLL L28 - VF SILVER BOW D172,148,13,-2.5,56,95,0.24,0.74,15,0,14,7,20,0.56,-0.05,14,0.25,0.0,87,61,7,2,1130.0,9
F83,K20B,2.7353,7.4819,PM22,F83 - HHOLL K20B,107,17,-3.7,56,81,0.16,0.4,28,-4,9,8,18,0.41,-0.06,8,0.05,-0.02,75,32,3,5,1185.0,8
F08,1181J,2.5923,6.7201,PM116,F08 - LSF SRR CHARTER 1181J,162,10,-0.8,71,117,0.28,0.8,25,1,12,6,20,0.57,0.05,34,0.1,-0.01,89,74,8,1,1500.0,9
L61,K20B,2.5354,6.428,PM104,HHOLL L61 - HHOLL K20B,102,19,-4.9,47,70,0.14,0.35,20,-7,10,9,16,0.55,-0.05,-2,-0.03,-0.01,64,37,3,5,,8
L33,K20B,2.4707,6.1045,PM98,HHOLL L33 - HHOLL K20B,125,15,-3.0,58,89,0.19,0.57,23,-4,11,8,19,0.5,-0.05,8,0.08,-0.01,82,43,4,4,998.0,8
C17,K20B,2.4287,5.8987,PM8,C17 - HHOLL K20B,114,17,-3.3,56,81,0.15,0.34,23,-7,10,8,19,0.42,-0.05,5,0.0,-0.01,83,31,3,5,1215.0,8
G07,Z124G,2.1574,4.6543,PM155,HHOLL G07 - LASO SPLASH Z124G,126,14,-2.8,46,73,0.17,0.34,16,-3,11,7,19,0.57,-0.09,9,0.32,0.0,70,56,5,4,,9
E29,K20B,2.0783,4.3195,PM13,E29 - HHOLL K20B,120,15,-2.5,53,76,0.14,0.31,26,-7,10,8,20,0.41,-0.06,4,-0.0,-0.01,92,29,4,4,1330.0,8
C14,K20B,2.0692,4.2818,PM5,C14 - HHOLL K20B,109,17,-3.3,52,75,0.14,0.14,20,-8,9,8,19,0.4,-0.06,2,-0.04,-0.02,79,30,3,5,1165.0,8
K34,K20B,2.061,4.2477,PM81,HHOLL K34 - HHOLL K20B,115,16,-3.2,60,90,0.19,0.56,29,-3,10,7,17,0.58,-0.02,11,0.03,-0.01,66,49,4,4,1275.0,8
M59,1181J,2.0569,4.231,PM823,HHOLL M59 - LSF SRR CHARTER 1181J,148,11,-1.6,68,111,0.27,0.8,26,3,12,6,17,0.66,0.01,35,0.25,-0.01,66,82,6,2,1115.0,8
K30,K20B,1.9314,3.7305,PM79,HHOLL K30 - HHOLL K20B,123,15,-3.0,54,83,0.18,0.49,23,-6,11,7,19,0.5,-0.05,5,0.03,-0.01,81,42,4,4,1000.0,8
K51,K20B,1.921,3.6903,PM66,HHOLL K51 - HHOLL K20B,115,17,-3.9,50,78,0.17,0.43,19,-5,11,8,18,0.5,-0.05,4,0.02,-0.01,72,43,3,5,1315.0,8
C19,K20B,1.7844,3.1842,PM3,C19 - HHOLL K20B,107,17,-3.2,56,79,0.15,0.38,26,-6,9,8,19,0.4,-0.05,4,-0.03,-0.02,82,25,3,5,1280.0,8
H50,Z124G,1.7547,3.0788,PM253,HHOLL H50 - LASO SPLASH Z124G,126,12,-1.9,56,90,0.21,0.59,29,0,11,6,17,0.59,-0.11,17,0.44,-0.0,62,64,6,2,1245.0,8
L56,K20B,1.5945,2.5425,PM101,HHOLL L56 - HHOLL K20B,103,17,-4.1,52,75,0.14,0.38,26,-7,10,8,17,0.51,-0.05,-2,-0.06,-0.01,72,31,3,5,1035.0,8
K56,1181J,1.3767,1.8953,PM543,HHOLL K56 - LSF SRR CHARTER 1181J,156,10,-1.2,70,115,0.28,0.83,25,3,12,6,20,0.57,0.05,34,0.09,-0.01,82,74,8,1,1080.0,9
