RAAA#,Sex,AnimalID,Name,DOB,BrdCds,PROS,CED, BW, WW, YW, ADG, DMI, Milk, ME, HPG, CEM, STAY, Marb, YG, CW, REA, FAT, HB, GM
PM86,,K65 - 8177F,HHOLL K65 - LSF SRR PRESIDENT 8177F,,,145,18,-4.8,62,90,0.17,0.69,28,-7,11,9,19,0.69,-0.08,11,0.2,-0.01,93,51
PM87,,K14 - 8177F,HHOLL K14 - LSF SRR PRESIDENT 8177F,,,144,16,-4.2,60,88,0.17,0.6,26,-7,12,9,19,0.69,-0.07,10,0.18,-0.01,91,52
PM88,,K40 - 8177F,HHOLL K40 - LSF SRR PRESIDENT 8177F,,,137,17,-4.4,60,86,0.17,0.56,24,-8,12,9,18,0.69,-0.08,10,0.17,-0.01,85,52
PM89,,L06 - 8177F,HHOLL L06 - LSF SRR PRESIDENT 8177F,,,141,16,-4.2,66,97,0.19,0.77,25,-7,12,9,17,0.77,-0.09,12,0.23,-0.01,82,59
PM90,,L09 - 8177F,HHOLL L09 - LSF SRR PRESIDENT 8177F,,,142,17,-4.9,63,92,0.18,0.69,26,-8,12,9,18,0.74,-0.08,12,0.21,-0.01,87,55
PM91,,L12 - 8177F,HHOLL L12 - LSF SRR PRESIDENT 8177F,,,158,15,-3.8,63,94,0.19,0.76,28,-5,12,8,19,0.73,-0.09,19,0.39,0,93,65
PM92,,L20 - 8177F,HHOLL L20 - LSF SRR PRESIDENT 8177F,,,145,13,-2.8,72,105,0.21,0.89,26,-7,12,7,18,0.76,-0.08,15,0.26,-0.01,88,57
PM93,,L22 - 8177F,HHOLL L22 - LSF SRR PRESIDENT 8177F,,,134,14,-3.2,69,100,0.2,0.73,29,-7,11,8,17,0.7,-0.08,14,0.22,-0.01,79,55
PM94,,L28 - 8177F,HHOLL L28 - LSF SRR PRESIDENT 8177F,,,156,14,-3.5,61,92,0.19,0.69,22,-5,12,8,20,0.72,-0.09,16,0.35,0,93,63
PM95,,L29 - 8177F,HHOLL L29 - LSF SRR PRESIDENT 8177F,,,147,15,-3.7,61,91,0.18,0.65,27,-7,12,8,18,0.76,-0.1,12,0.26,-0.01,86,61
PM96,,L31 - 8177F,HHOLL L31 - LSF SRR PRESIDENT 8177F,,,145,13,-2.7,67,98,0.2,0.76,27,-6,12,8,17,0.76,-0.1,15,0.3,-0.01,83,62
PM97,,L32 - 8177F,HHOLL L32 - LSF SRR PRESIDENT 8177F,,,169,14,-3.7,69,107,0.24,0.82,26,-3,12,9,20,0.68,-0.02,27,0.24,-0.01,98,71
